"","PreCG_L_SA","SFGdor_L_SA","ORBsup_L_SA","MFG_L_SA","ORBmid_L_SA","IFGoperc_L_SA","IFGtriang_L_SA","ORBinf_L_SA","ROL_L_SA","SMA_L_SA","OLF_L_SA","SFGmed_L_SA","ORBsupmed_L_SA","REC_L_SA","INS_L_SA","ACG_L_SA","DCG_L_SA","PCG_L_SA","PHG_L_SA","CAL_L_SA","CUN_L_SA","LING_L_SA","SOG_L_SA","MOG_L_SA","IOG_L_SA","FFG_L_SA","PoCG_L_SA","SPG_L_SA","IPL_L_SA","SMG_L_SA","ANG_L_SA","PCUN_L_SA","PCL_L_SA","HES_L_SA","STG_L_SA","TPOsup_L_SA","MTG_L_SA","TPOmid_L_SA","ITG_L_SA","PreCG_R_SA","SFGdor_R_SA","ORBsup_R_SA","MFG_R_SA","ORBmid_R_SA","IFGoperc_R_SA","IFGtriang_R_SA","ORBinf_R_SA","ROL_R_SA","SMA_R_SA","OLF_R_SA","SFGmed_R_SA","ORBsupmed_R_SA","REC_R_SA","INS_R_SA","ACG_R_SA","DCG_R_SA","PCG_R_SA","PHG_R_SA","CAL_R_SA","CUN_R_SA","LING_R_SA","SOG_R_SA","MOG_R_SA","IOG_R_SA","FFG_R_SA","PoCG_R_SA","SPG_R_SA","IPL_R_SA","SMG_R_SA","ANG_R_SA","PCUN_R_SA","PCL_R_SA","HES_R_SA","STG_R_SA","TPOsup_R_SA","MTG_R_SA","TPOmid_R_SA","ITG_R_SA"
"PreCG_L_SA",1,1,0.8808,1,0.9256,1,1,1,1,1,0.9154,0.9517,0.8029,1,0.9326,1,1,0.762,0.9777,1,1,0.906,0.926,0.6699,0.5812,0.9517,0.8738,0.7105,0.5743,0.9597,0.9507,1,0.9949,0.9251,1,0.9505,1,0.844,1,0.9582,0.9533,1,1,0.9245,0.9935,0.9228,0.8546,0.9391,0.8728,0.9427,0.9741,1,1,0.9217,0.779,0.8813,0.8247,1,0.906,0.9141,0.9792,1,0.8893,0.9413,1,0.8971,1,0.6494,0.8312,0.7842,1,0.9024,0.811,0.8331,1,0.9818,0.8042,1
"SFGdor_L_SA",1,1,0.9189,1,0.7645,1,0.8382,0.7414,1,0.8393,0.8502,0.8436,1,0.596,0.9785,1,0.8074,1,1,0.9099,0.5547,1,0.8126,0.3518,0.9193,0.9221,0.7523,1,0.9215,0.8577,0.8325,0.9559,1,1,0.8885,0.9767,1,0.9157,0.6484,0.979,0.9449,0.8737,1,0.9296,0.842,0.5067,0.8768,0.7182,0.8755,0.2531,0.9896,0.8918,0.5981,0.7831,0.8029,0.9663,1,0.63,0.8762,0.839,0.4891,1,0.7985,0.4331,0.7038,0.8825,0.7404,0.7708,0.3758,1,1,0.9258,0.6636,0.7735,0.8689,0.8347,0.6427,0.7782
"ORBsup_L_SA",0.928,0.9607,1,1,0.7919,1,1,1,1,1,0.6519,0.818,0.4325,0.3978,0.8871,1,1,0.9257,1,0.9582,0.7163,0.8231,0.6093,0.3981,0.5523,1,0.8698,0.8365,0.8022,0.8436,1,1,1,1,1,0.8751,1,1,1,0.8,0.8966,0.8652,1,0.8032,1,0.9791,0.911,0.9077,0.8349,0.413,0.8493,1,0.9217,0.7537,0.7143,0.9209,0.7281,0.8955,1,0.9028,0.8422,1,0.8746,0.7906,0.829,0.6405,0.8713,0.7619,0.7608,0.9722,1,0.8467,0.8219,1,0.9791,0.8936,0.6081,1
"MFG_L_SA",1,1,1,1,1,1,1,1,0.9119,1,1,0.9739,0.9829,1,1,0.9216,0.9268,0.9807,0.9187,1,1,0.8125,0.8744,0.8053,0.5557,0.866,0.978,0.9884,0.7258,1,0.7021,1,0.9271,0.9546,0.9094,0.9335,0.8453,1,1,1,0.9943,0.8448,0.9215,0.8283,1,1,1,0.9606,0.9178,1,0.9155,0.9979,1,1,0.9207,0.8638,0.847,0.8477,1,1,1,1,1,0.8364,0.9404,0.8798,1,0.8445,0.9195,1,0.9402,0.9235,0.7016,0.7807,0.9519,1,0.5789,1
"ORBmid_L_SA",0.9645,0.9061,0.8225,1,1,1,0,0.7443,0.9306,1,1,0.9285,0.535,0.4605,1,0,0.9852,1,0.9598,1,0.1183,1,0.6998,0.3622,0,0.7601,1,0.9759,0.8016,0.8402,0.3266,0.9025,0.9177,0.23,0.8735,1,0.9417,0,1,0.7627,1,0.6848,0.563,0.7356,1,0.8399,0.9954,0,0.9675,0.4669,0.6248,0.648,0.6638,0.8179,0.8728,0.9783,0.5791,0.8005,1,1,0.7247,0.9388,1,0.432,0.5784,0.4227,1,0.8139,0.5381,1,0.8804,0.7556,0.5598,0.1014,0.9977,0.9775,0.1466,1
"IFGoperc_L_SA",1,1,1,1,1,1,0.9968,1,0.9018,1,1,1,0.648,1,0.9774,0.852,0.7965,1,1,1,1,0.9536,1,0.636,0.6969,1,1,1,1,0.7684,1,1,0.6451,0.4651,1,0.7467,0.982,0.7924,1,1,1,1,1,1,1,0.7891,1,0.8325,1,0.967,1,1,1,0.8802,1,0.9252,1,0.7231,1,0.8053,0.7287,0.6043,1,1,1,1,1,0.844,1,0.8681,0.976,1,0.3667,0.9151,0.9657,0.9655,0.7266,1
"IFGtriang_L_SA",1,0.8265,1,1,0,1,1,0.5804,1,0.26,0.2623,0.7073,1,0.2532,0.9391,0.3701,1,1,0.1478,0.0917,0.9266,0.8662,1,0,0,0.8775,0.9766,0,1,1,0.0138,0.7744,0.9501,0,0.1479,1,1,0,0.4653,0.9107,1,0.7881,0.926,0.9694,0.8463,0.5046,0.395,0.6188,1,0.3818,0.8314,0.7717,0.3809,0.7445,0.0312,0.6927,0,0.7002,0.145,1,0.5588,0.5999,0,0.5329,0.8138,1,0.0874,0,0.522,1,0.6164,0.182,0.1042,1,0.4821,0.7554,0,0.6177
"ORBinf_L_SA",1,0.7714,1,1,0.7317,1,0.4395,1,0.6345,0.9008,0.9968,1,0.8944,0.7583,0.6462,0.8696,0.174,1,1,0.3398,1,1,1,0.7996,0.0642,0.8848,1,0.9407,1,0.8629,0.7528,1,1,0,0.9415,1,1,0.2001,0.6499,1,1,0.7213,1,0.8751,0.5148,0.038,0.561,0.9332,1,0.0761,1,0.7565,0.6909,0.3647,1,1,1,0.6029,0.7769,0.4561,0.0341,0.9009,0.7417,1,0.7758,1,0.9218,0.7376,0.681,1,0.9876,0.3848,0.0473,0.9905,1,0.8378,0.8858,0.8954
"ROL_L_SA",1,1,1,0.9353,0.8567,0.8995,1,0.6292,1,0.8979,0.5958,1,0.6096,0.6666,0.7679,1,0.9494,1,1,1,1,1,1,0.4032,0.9421,1,0.9521,1,1,1,0.5573,1,1,0.7481,1,0.9424,0.7632,0.9395,1,1,0.8168,0.8976,1,1,1,0.9256,0.932,0.8847,1,1,0.9238,0.9438,1,0.712,1,0.9452,1,0.7702,1,0.9793,1,0.8262,0.6499,0.2714,1,1,0.9765,0.9158,0.9078,0.6181,1,1,0.7524,1,0.6183,0.9288,0.5661,1
"SMA_L_SA",1,0.8975,1,1,1,1,0.4458,0.9815,0.9629,1,0.9086,0.9986,1,0.935,0.9503,1,1,1,0.7941,1,1,1,0.987,0.3943,0.4492,1,1,1,1,0.832,1,1,0.9683,0.8698,0.6292,0.9687,1,1,0.8329,1,0.9406,1,1,1,0.6889,1,0.4529,0.9554,0.9945,0.9889,0.8703,0.9589,0.8586,0.9991,0.8689,0.8388,1,0.9174,1,0.8713,1,1,0.9737,0.4368,1,1,0.9574,0.5998,0.6384,0.7628,0.9652,0.9739,0.6229,1,0.6958,1,0.3539,0.8736
